idx,First_pokemon,Second_pokemon,Winner,Loser
257,132,69,69,132
258,568,396,568,396
259,644,218,644,218
260,321,163,163,321
261,17,164,164,17
262,715,190,715,190
263,51,57,51,57
264,237,448,448,237
265,580,676,580,676
266,789,726,726,789
267,420,718,420,718
268,83,499,499,83
269,526,159,159,526
270,115,56,56,115
271,358,636,358,636
272,54,532,532,54
273,534,798,534,798
274,768,179,768,179
275,94,724,724,94
276,795,437,795,437
277,313,432,432,313
278,305,251,305,251
279,269,289,269,289
280,593,733,733,593
281,568,428,428,568
282,290,287,287,290
283,762,733,762,733
284,217,100,100,217
285,668,87,668,87
286,165,49,165,49
287,123,771,771,123
288,261,154,154,261
289,225,640,640,225
290,313,103,103,313
291,106,505,505,106
292,453,614,614,453
293,107,48,48,107
294,722,590,590,722
295,559,431,431,559
296,141,727,727,141
297,490,239,490,239
298,490,340,340,490
299,373,128,128,373
300,3,730,3,730
301,502,91,502,91
302,714,104,714,104
303,788,276,276,788
304,459,16,16,459
305,432,143,432,143
306,724,2,724,2
307,648,533,648,533
308,250,357,250,357
309,155,439,155,439
310,447,20,20,447
311,366,371,366,371
312,337,770,337,770
313,358,765,358,765
314,198,110,198,110
315,152,760,760,152
316,164,577,164,577
317,174,646,646,174
318,438,59,59,438
319,614,443,614,443
320,789,127,127,789
321,504,421,421,504
322,565,214,214,565
323,158,635,635,158
324,386,21,21,386
325,408,404,404,408
326,349,440,349,440
327,410,295,410,295
328,83,569,569,83
329,249,411,249,411
330,173,609,173,609
331,770,572,572,770
332,51,473,473,51
333,452,106,106,452
334,550,769,550,769
335,525,740,525,740
336,464,762,762,464
337,147,798,798,147
338,572,45,572,45
339,569,741,569,741
340,193,28,28,193
341,247,445,247,445
342,511,280,280,511
343,435,44,44,435
344,794,359,794,359
345,196,758,758,196
346,470,410,410,470
347,631,164,164,631
348,451,790,451,790
349,211,442,442,211
350,773,582,773,582
351,403,59,59,403
352,401,413,413,401
353,228,679,679,228
354,753,196,196,753
355,578,434,434,578
356,210,40,40,210
357,38,716,716,38
358,18,458,458,18
359,538,742,538,742
360,702,627,702,627
361,403,412,403,412
362,517,136,136,517
363,465,89,465,89
364,505,502,505,502
365,601,644,644,601
366,459,84,84,459
367,548,525,525,548
368,707,521,521,707
369,14,62,62,14
370,728,501,728,501
371,182,246,246,182
372,741,117,741,117
373,29,431,431,29
374,719,574,574,719
375,209,477,477,209
376,492,37,37,492
377,425,43,425,43
378,207,284,284,207
379,749,512,512,749
380,539,153,153,539
381,152,159,159,152
382,738,18,738,18
383,182,579,579,182
384,69,302,69,302
385,173,713,713,173
386,488,199,488,199
387,683,506,683,506
388,2,619,2,619
389,735,255,735,255
390,70,800,70,800
391,120,67,67,120
392,738,610,610,738
393,68,397,397,68
394,540,714,540,714
395,184,197,184,197
396,577,58,58,577
397,750,29,29,750
398,391,640,391,640
399,211,737,211,737
400,462,694,694,462
401,337,147,147,337
402,459,644,644,459
403,615,652,615,652
404,786,180,786,180
405,247,594,594,247
406,536,720,536,720
407,729,586,586,729
408,715,80,715,80
409,516,740,516,740
410,440,525,525,440
411,174,410,410,174
412,634,424,424,634
413,252,797,797,252
414,317,294,317,294
415,463,790,790,463
416,770,7,7,770
417,110,783,110,783
418,454,469,469,454
419,241,731,241,731
420,688,190,688,190
421,271,21,271,21
422,738,789,738,789
423,476,223,476,223
424,574,283,574,283
425,621,551,551,621
426,723,617,723,617
427,1,679,679,1
428,595,131,595,131
429,433,339,339,433
430,247,452,247,452
431,19,709,709,19
432,410,278,410,278
433,103,142,103,142
434,37,337,337,37
435,453,29,453,29
436,73,113,113,73
437,374,87,374,87
438,634,784,784,634
439,681,790,681,790
440,181,765,181,765
441,584,498,498,584
442,586,590,590,586
443,732,1,732,1
444,478,524,478,524
445,734,19,19,734
446,634,348,634,348
447,567,755,567,755
448,354,82,354,82
449,417,783,417,783
450,420,85,420,85
451,610,215,610,215
452,350,160,350,160
453,122,588,588,122
454,159,77,159,77
455,398,598,398,598
456,300,704,704,300
457,508,293,508,293
458,763,685,685,763
459,428,203,428,203
460,509,199,509,199
461,106,592,106,592
462,550,394,550,394
463,310,48,48,310
464,80,314,314,80
465,463,203,463,203
466,484,9,9,484
467,700,49,700,49
468,437,533,533,437
469,73,485,73,485
470,627,314,314,627
471,216,657,216,657
472,126,617,126,617
473,632,707,707,632
474,692,331,692,331
475,11,309,309,11
476,483,22,483,22
477,665,170,170,665
478,540,337,540,337
479,39,299,299,39
480,761,762,762,761
481,441,1,441,1
482,434,137,137,434
483,700,433,700,433
484,52,379,379,52
485,158,171,158,171
486,769,374,769,374
487,789,690,690,789
488,393,255,255,393
489,307,741,307,741
490,528,492,528,492
491,212,24,24,212
492,99,173,99,173
493,58,253,58,253
494,226,289,226,289
495,365,609,365,609
496,409,532,409,532
497,647,294,647,294
498,15,756,756,15
499,196,774,196,774
500,265,68,265,68
501,564,749,749,564
502,750,248,248,750
503,142,107,142,107
504,427,404,427,404
505,454,302,302,454
506,323,574,574,323
507,262,67,67,262
508,710,434,710,434
509,291,666,291,666
510,233,445,233,445
511,126,494,494,126
512,252,108,108,252
513,69,212,212,69
514,120,342,120,342
515,224,173,173,224
516,695,94,94,695
517,672,355,672,355
518,409,254,409,254
519,195,607,607,195
520,528,327,327,528
521,127,81,127,81
522,698,336,336,698
523,422,705,705,422
524,432,397,432,397
525,409,376,409,376
526,582,424,424,582
527,521,268,521,268
528,304,708,708,304
529,385,492,492,385
530,560,70,560,70
531,545,149,149,545
532,68,362,362,68
533,672,732,732,672
534,632,14,632,14
535,641,341,341,641
536,365,428,428,365
537,594,425,425,594
538,764,529,764,529
539,397,161,397,161
540,111,670,670,111
541,219,738,219,738
542,408,647,647,408
543,516,107,107,516
544,622,736,736,622
545,212,128,212,128
546,685,648,648,685
547,406,420,420,406
548,501,689,689,501
549,533,211,533,211
550,413,580,413,580
551,74,277,277,74
552,460,713,713,460
553,450,8,8,450
554,376,196,196,376
555,292,510,510,292
556,282,186,282,186
557,384,699,699,384
558,295,741,741,295
559,346,790,346,790
560,269,187,269,187
561,45,323,323,45
562,89,778,778,89
563,151,238,151,238
564,774,667,774,667
565,266,301,301,266
566,602,375,375,602
567,31,490,490,31
568,92,182,92,182
569,588,390,588,390
570,476,434,476,434
571,360,426,426,360
572,101,21,21,101
573,267,182,267,182
574,245,72,72,245
575,10,17,17,10
576,110,425,425,110
577,244,177,177,244
578,209,465,465,209
579,778,760,778,760
580,192,721,192,721
581,340,110,110,340
582,555,443,443,555
583,538,82,538,82
584,123,434,123,434
585,597,627,597,627
586,409,56,409,56
587,458,301,301,458
588,65,644,65,644
589,584,319,319,584
590,262,210,210,262
591,116,492,116,492
592,75,480,480,75
593,38,302,302,38
594,750,656,656,750
595,453,174,453,174
596,375,509,375,509
597,791,203,791,203
598,617,266,617,266
599,480,541,541,480
600,425,750,425,750
601,325,276,276,325
602,385,157,157,385
603,331,648,648,331
604,566,34,34,566
605,86,502,502,86
606,214,435,214,435
607,551,778,551,778
608,300,354,300,354
609,438,630,438,630
610,209,397,209,397
611,582,666,582,666
612,52,780,780,52
613,492,417,417,492
614,519,581,581,519
615,11,771,771,11
616,725,340,340,725
617,286,313,313,286
618,79,633,633,79
619,435,83,435,83
620,565,55,55,565
621,313,754,313,754
622,247,685,247,685
623,698,215,698,215
624,76,567,567,76
625,451,21,451,21
626,132,473,132,473
627,500,215,500,215
628,4,13,4,13
629,111,188,111,188
630,39,519,519,39
631,129,303,129,303
632,306,39,306,39
633,752,595,595,752
634,699,458,699,458
635,708,456,708,456
636,102,304,102,304
637,399,239,239,399
638,37,13,13,37
639,498,282,498,282
640,649,489,649,489
641,535,189,535,189
642,147,189,147,189
643,107,32,32,107
644,688,350,350,688
645,559,540,540,559
646,28,44,44,28
647,277,168,168,277
648,285,328,328,285
649,650,652,650,652
650,638,393,393,638
651,365,233,233,365
652,215,290,215,290
653,576,231,576,231
654,335,333,335,333
655,79,392,79,392
656,181,41,181,41
657,136,546,136,546
658,208,685,685,208
659,634,480,480,634
660,481,690,481,690
661,262,47,47,262
662,87,59,59,87
663,637,695,695,637
664,712,74,712,74
665,696,274,274,696
666,485,101,101,485
667,484,661,661,484
668,721,631,631,721
669,354,257,257,354
670,485,605,605,485
671,27,798,798,27
672,604,131,131,604
673,336,532,532,336
674,298,179,179,298
675,297,394,394,297
676,260,358,260,358
677,429,475,429,475
678,546,416,546,416
679,174,224,174,224
680,65,173,65,173
681,793,247,793,247
682,530,437,437,530
683,154,650,154,650
684,627,150,150,627
685,47,334,334,47
686,146,660,660,146
687,348,105,348,105
688,712,575,712,575
689,602,728,728,602
690,523,461,523,461
691,347,526,526,347
692,579,373,579,373
693,2,214,214,2
694,10,596,596,10
695,531,762,531,762
696,430,516,430,516
697,305,400,305,400
698,158,258,158,258
699,528,38,528,38
700,54,600,600,54
701,424,728,424,728
702,232,333,232,333
703,162,114,162,114
704,59,118,59,118
705,632,742,742,632
706,488,708,708,488
707,180,690,690,180
708,129,423,423,129
709,162,439,162,439
710,592,267,267,592
711,727,219,727,219
712,707,764,707,764
713,537,525,537,525
714,798,672,672,798
715,6,47,6,47
716,421,225,421,225
717,703,732,732,703
718,743,248,248,743
719,773,454,773,454
720,286,680,286,680
721,541,302,541,302
722,210,686,686,210
723,503,62,503,62
724,423,734,423,734
725,280,524,280,524
726,116,681,116,681
727,365,680,680,365
728,330,664,664,330
729,462,463,463,462
730,242,325,242,325
731,131,340,340,131
732,713,794,794,713
733,234,667,234,667
734,270,772,772,270
735,200,393,393,200
736,181,351,181,351
737,546,350,350,546
738,665,39,39,665
739,475,402,475,402
740,383,722,383,722
741,401,580,580,401
742,123,609,123,609
743,502,123,502,123
744,98,537,537,98
745,565,716,716,565
746,512,100,512,100
747,240,93,93,240
748,646,468,646,468
749,89,470,89,470
750,438,284,438,284
751,125,31,125,31
752,570,222,570,222
753,350,512,512,350
754,643,42,643,42
755,560,316,316,560
756,715,343,715,343
757,126,622,126,622
758,278,184,184,278
759,604,130,130,604
760,558,573,573,558
761,411,220,411,220
762,132,181,132,181
763,592,748,748,592
764,709,260,709,260
765,515,598,598,515
766,576,530,576,530
767,512,205,512,205
768,268,458,268,458
769,633,113,633,113
770,368,101,101,368
771,371,61,61,371
772,248,339,339,248
773,256,30,30,256
774,691,593,691,593
775,118,349,349,118
776,216,30,216,30
777,540,545,540,545
778,664,13,13,664
779,292,52,52,292
780,120,256,256,120
781,178,456,178,456
782,148,343,343,148
783,693,68,68,693
784,547,719,547,719
785,93,738,93,738
786,664,398,398,664
787,347,589,589,347
788,222,568,568,222
789,349,425,349,425
790,166,559,166,559
791,50,306,306,50
792,361,716,716,361
793,226,509,226,509
794,2,594,2,594
795,50,134,134,50
796,459,111,111,459
797,667,96,667,96
798,260,215,215,260
799,380,694,694,380
800,496,485,496,485
801,310,153,153,310
802,349,663,349,663
803,516,130,516,130
804,783,681,783,681
805,657,355,355,657
806,549,100,549,100
807,462,690,690,462
808,112,465,465,112
809,117,370,370,117
810,549,54,549,54
811,478,593,478,593
812,497,280,280,497
813,766,591,766,591
814,677,17,677,17
815,251,259,251,259
816,53,494,494,53
817,746,494,494,746
818,475,723,475,723
819,305,238,305,238
820,288,524,288,524
821,751,45,751,45
822,291,470,291,470
823,154,325,154,325
824,638,359,638,359
825,604,233,233,604
826,19,369,19,369
827,526,203,526,203
828,129,695,129,695
829,215,719,719,215
830,518,118,518,118
831,127,287,127,287
832,559,214,214,559
833,762,86,762,86
834,557,501,557,501
835,282,605,282,605
836,307,149,307,149
837,425,390,425,390
838,612,731,731,612
839,387,311,311,387
840,143,116,116,143
841,340,268,340,268
842,14,162,162,14
843,570,492,570,492
844,549,127,549,127
845,484,212,212,484
846,524,222,524,222
847,400,151,151,400
848,375,255,255,375
849,738,176,738,176
850,116,490,490,116
851,2,394,394,2
852,369,505,505,369
853,283,254,254,283
854,545,241,545,241
855,49,268,268,49
856,522,177,522,177
857,699,225,225,699
858,160,398,398,160
859,579,691,691,579
860,337,494,494,337
861,465,536,465,536
862,768,738,768,738
863,541,233,541,233
864,462,259,259,462
865,569,796,569,796
866,145,148,148,145
867,306,290,306,290
868,581,549,549,581
869,81,70,81,70
870,179,517,179,517
871,147,629,147,629
872,274,302,274,302
873,621,271,271,621
874,669,318,318,669
875,533,754,533,754
876,487,527,527,487
877,385,160,160,385
878,49,636,636,49
879,793,372,793,372
880,93,477,477,93
881,572,353,572,353
882,422,132,132,422
883,296,599,296,599
884,771,323,771,323
885,385,323,385,323
886,523,519,519,523
887,390,747,747,390
888,698,98,698,98
889,472,295,472,295
890,667,797,797,667
891,643,620,643,620
892,450,700,700,450
893,583,450,583,450
894,247,7,7,247
895,614,638,614,638
896,15,182,182,15
897,624,68,68,624
898,281,716,716,281
899,167,761,167,761
900,157,141,157,141
901,175,697,697,175
902,791,85,85,791
903,54,214,214,54
904,50,406,50,406
905,585,463,585,463
906,675,343,343,675
907,369,392,392,369
908,30,198,30,198
909,406,403,403,406
910,627,173,173,627
911,671,395,671,395
912,359,657,657,359
913,117,707,707,117
914,654,164,654,164
915,86,377,86,377
916,699,454,699,454
917,440,615,615,440
918,406,542,542,406
919,604,142,142,604
920,231,209,209,231
921,441,337,337,441
922,116,790,116,790
923,305,752,752,305
924,40,226,40,226
925,514,602,514,602
926,629,74,629,74
927,217,628,628,217
928,261,24,24,261
929,613,189,613,189
930,597,386,597,386
931,555,682,682,555
932,165,515,165,515
933,766,395,766,395
934,493,378,493,378
935,339,460,339,460
936,47,711,711,47
937,619,451,451,619
938,105,599,599,105
939,692,126,692,126
940,74,693,693,74
941,45,315,315,45
942,596,770,596,770
943,595,392,392,595
944,102,54,102,54
945,742,666,742,666
946,343,407,343,407
947,438,604,438,604
948,111,294,111,294
949,468,342,342,468
950,528,794,794,528
951,513,461,513,461
952,424,604,424,604
953,383,536,536,383
954,56,795,795,56
955,292,246,246,292
956,593,332,332,593
957,352,697,697,352
958,520,184,184,520
959,504,426,426,504
960,21,602,21,602
961,343,622,343,622
962,224,228,228,224
963,160,354,160,354
964,490,24,24,490
965,158,274,158,274
966,713,331,713,331
967,414,518,414,518
968,141,538,538,141
969,713,218,713,218
970,273,765,765,273
971,97,701,701,97
972,603,452,603,452
973,514,640,514,640
974,542,615,542,615
975,63,399,63,399
976,676,142,142,676
977,274,615,615,274
978,792,498,792,498
979,586,751,751,586
980,495,489,495,489
981,280,83,280,83
982,291,54,291,54
983,73,415,415,73
984,531,659,531,659
985,230,674,674,230
986,455,531,531,455
987,662,382,662,382
988,464,751,751,464
989,572,102,102,572
990,213,232,232,213
991,591,100,100,591
992,470,258,258,470
993,720,243,720,243
994,381,783,783,381
995,157,525,157,525
996,1,687,687,1
997,376,301,301,376
998,665,567,567,665
999,790,124,124,790
1000,356,436,436,356
1001,715,442,715,442
1002,415,732,415,732
1003,216,195,216,195
1004,520,700,700,520
1005,191,116,116,191
1006,227,573,573,227
1007,83,742,742,83
1008,661,366,366,661
1009,767,15,767,15
1010,567,217,567,217
1011,276,619,276,619
1012,371,31,31,371
1013,163,470,163,470
1014,696,576,576,696
1015,163,132,163,132
1016,496,319,496,319
1017,676,614,614,676
1018,164,141,164,141
1019,639,562,562,639
1020,138,233,138,233
1021,283,413,413,283
1022,227,32,32,227
1023,606,360,606,360
1024,429,375,429,375
1025,286,21,286,21
1026,800,422,422,800
1027,498,199,498,199
1028,214,380,214,380
1029,679,94,679,94
1030,602,150,602,150
1031,163,675,163,675
1032,684,467,467,684
1033,368,376,368,376
1034,137,153,137,153
1035,744,248,248,744
1036,283,336,336,283
1037,282,288,288,282
1038,710,646,710,646
1039,713,250,713,250
1040,654,56,56,654
1041,1,557,557,1
1042,543,762,543,762
1043,130,341,341,130
1044,65,523,65,523
1045,175,563,175,563
1046,157,25,157,25
1047,308,110,110,308
1048,107,213,213,107
1049,150,717,717,150
1050,5,117,5,117
1051,173,576,576,173
1052,296,412,296,412
1053,749,682,682,749
1054,285,44,44,285
1055,494,384,494,384
1056,31,692,31,692
1057,657,402,657,402
1058,483,678,483,678
1059,372,607,607,372
1060,734,724,724,734
1061,268,441,268,441
1062,192,21,192,21
1063,62,576,576,62
1064,369,447,369,447
1065,344,323,344,323
1066,299,410,410,299
1067,689,137,137,689
1068,426,83,426,83
1069,4,307,307,4
1070,54,460,54,460
1071,717,177,717,177
1072,118,739,739,118
1073,350,4,350,4
1074,325,299,299,325
1075,327,406,406,327
1076,491,642,642,491
1077,763,490,490,763
1078,694,565,694,565
1079,199,231,199,231
1080,16,55,55,16
1081,451,598,598,451
1082,52,6,6,52
1083,788,428,428,788
1084,484,451,484,451
1085,101,518,518,101
1086,249,797,249,797
1087,670,131,131,670
1088,715,73,715,73
1089,789,156,156,789
1090,350,749,350,749
1091,551,772,772,551
1092,368,344,368,344
1093,232,405,232,405
1094,421,156,421,156
1095,103,465,103,465
1096,581,299,581,299
1097,743,421,421,743
1098,171,455,455,171
1099,142,562,142,562
1100,656,37,37,656
1101,680,721,721,680
1102,362,528,528,362
1103,453,561,453,561
1104,344,173,344,173
1105,526,701,701,526
1106,525,81,525,81
1107,365,244,244,365
1108,295,290,295,290
1109,307,113,307,113
1110,595,401,401,595
1111,549,600,549,600
1112,243,197,197,243
1113,703,426,703,426
1114,587,461,461,587
1115,82,278,278,82
1116,583,545,583,545
1117,420,394,394,420
1118,131,513,513,131
1119,375,505,505,375
1120,209,115,209,115
1121,215,601,601,215
1122,503,662,662,503
1123,157,79,157,79
1124,197,799,799,197
1125,501,690,690,501
1126,148,106,106,148
1127,671,718,718,671
1128,639,278,278,639
1129,334,778,778,334
1130,211,494,494,211
1131,760,396,760,396
1132,565,616,616,565
1133,716,296,716,296
1134,4,794,794,4
1135,785,218,785,218
1136,445,764,764,445
1137,317,102,102,317
1138,262,787,787,262
1139,2,705,705,2
1140,410,209,410,209
1141,597,682,682,597
1142,737,701,701,737
1143,305,160,160,305
1144,638,310,638,310
1145,63,428,428,63
1146,676,353,676,353
1147,454,55,55,454
1148,390,439,439,390
1149,315,115,115,315
1150,364,302,364,302
1151,797,113,797,113
1152,513,162,513,162
1153,194,763,763,194
1154,10,158,158,10
1155,754,434,434,754
1156,230,61,61,230
1157,692,211,692,211
1158,239,41,239,41
1159,130,226,226,130
1160,254,157,157,254
1161,675,411,675,411
1162,303,569,569,303
1163,461,563,563,461
1164,567,362,362,567
1165,547,675,547,675
1166,184,53,184,53
1167,50,462,462,50
1168,658,226,658,226
1169,296,337,337,296
1170,431,169,431,169
1171,558,428,428,558
1172,457,266,266,457
1173,71,196,71,196
1174,654,735,735,654
1175,104,190,104,190
1176,487,376,376,487
1177,543,631,543,631
1178,759,70,70,759
1179,72,182,72,182
1180,367,124,124,367
1181,439,523,523,439
1182,795,364,795,364
1183,107,711,711,107
1184,255,298,255,298
1185,68,621,68,621
1186,245,372,245,372
1187,800,176,800,176
1188,498,134,134,498
1189,69,368,368,69
1190,103,381,103,381
1191,29,217,29,217
1192,695,359,359,695
1193,65,425,65,425
1194,125,216,216,125
1195,472,456,472,456
1196,366,264,264,366
1197,334,267,267,334
1198,165,486,165,486
1199,440,424,424,440
1200,366,707,707,366
1201,333,221,333,221
1202,711,174,711,174
1203,726,775,726,775
1204,164,157,164,157
1205,478,87,478,87
1206,609,557,557,609
1207,424,340,424,340
1208,760,764,760,764
1209,678,372,372,678
1210,328,39,39,328
1211,250,692,250,692
1212,389,202,202,389
1213,791,771,771,791
1214,635,697,635,697
1215,503,607,503,607
1216,437,5,437,5
1217,343,449,343,449
1218,423,141,423,141
1219,703,99,703,99
1220,559,280,280,559
1221,532,340,340,532
1222,364,765,765,364
1223,590,141,590,141
1224,326,717,717,326
1225,289,188,289,188
1226,538,52,538,52
1227,528,549,528,549
1228,563,202,202,563
1229,642,393,393,642
1230,167,522,522,167
1231,127,352,127,352
1232,649,452,649,452
1233,175,292,175,292
1234,651,313,651,313
1235,750,757,757,750
1236,159,409,409,159
1237,744,529,744,529
1238,64,153,153,64
1239,654,164,654,164
1240,773,708,773,708
1241,6,418,418,6
1242,581,409,409,581
1243,92,331,331,92
1244,266,304,266,304
1245,704,181,704,181
1246,344,156,156,344
1247,717,440,717,440
1248,82,96,82,96
1249,309,730,730,309
1250,91,351,351,91
1251,683,346,683,346
1252,168,403,168,403
1253,627,611,611,627
1254,323,537,537,323
1255,160,205,205,160
1256,448,204,204,448
1257,124,105,124,105
1258,524,321,524,321
1259,601,699,699,601
1260,283,226,283,226
1261,294,305,305,294
1262,489,498,498,489
1263,572,265,572,265
1264,28,548,28,548
1265,249,641,249,641
1266,780,288,288,780
1267,786,611,786,611
1268,155,511,155,511
1269,707,224,707,224
1270,230,139,139,230
1271,468,551,551,468
1272,24,57,24,57
1273,583,614,614,583
1274,490,542,542,490
1275,615,34,34,615
1276,654,356,356,654
1277,759,443,443,759
1278,687,406,687,406
1279,647,747,747,647
1280,546,181,546,181
1281,560,600,600,560
1282,631,432,432,631
1283,449,694,694,449
1284,501,453,453,501
1285,679,309,679,309
1286,647,567,647,567
1287,642,604,604,642
1288,585,757,757,585
1289,401,557,557,401
1290,707,777,707,777
1291,10,88,10,88
1292,460,579,579,460
1293,216,472,472,216
1294,683,160,160,683
1295,595,681,681,595
1296,482,580,580,482
1297,789,179,179,789
1298,155,320,155,320
1299,226,103,103,226
1300,529,2,2,529
1301,232,72,232,72
1302,216,508,508,216
1303,645,417,645,417
1304,409,110,110,409
1305,133,576,133,576
1306,631,616,616,631
1307,549,159,549,159
1308,428,357,428,357
1309,759,402,759,402
1310,627,473,627,473
1311,403,345,345,403
1312,107,652,107,652
1313,492,216,216,492
1314,208,689,689,208
1315,8,656,8,656
1316,735,726,726,735
1317,559,277,559,277
1318,50,470,50,470
1319,568,355,568,355
1320,44,15,44,15
1321,491,411,491,411
1322,658,760,658,760
1323,512,476,512,476
1324,310,138,138,310
1325,708,760,708,760
1326,512,745,745,512
1327,495,162,162,495
1328,730,532,532,730
1329,189,35,35,189
1330,437,607,437,607
1331,669,302,302,669
1332,344,152,344,152
1333,156,791,156,791
1334,565,38,565,38
1335,344,329,344,329
1336,632,505,505,632
1337,130,581,581,130
1338,717,722,717,722
1339,649,303,649,303
1340,367,180,367,180
1341,640,20,20,640
1342,168,277,168,277
1343,691,710,710,691
1344,16,39,16,39
1345,682,335,682,335
1346,508,164,164,508
1347,253,449,253,449
1348,16,352,16,352
1349,786,795,786,795
1350,776,232,232,776
1351,233,571,233,571
1352,125,558,125,558
1353,444,651,444,651
1354,765,576,576,765
1355,453,234,234,453
1356,18,626,626,18
1357,734,400,400,734
1358,635,86,635,86
