,totalDiff,HPDiff,attackDiff,DefenseDiff,SpAtkDiff,SpdefDiff,SpeedDiff,DAMAGE_A,DAMAGE_SP,TR,win_mapping
100,-60,-20,-23,10,-23,-20,16,78.38399999999999,78.38399999999999,1.5,1
101,-76,-12,-14,8,-14,11,-55,28.505280000000003,24.235705263157897,0.0,0
102,29,5,-53,5,12,5,55,43.239999999999995,184.92000000000002,0.5,1
103,-196,-37,-44,-33,-27,-31,-24,21.61891764705882,21.61891764705882,0.0,0
104,-160,-15,-50,-55,-25,-15,0,30.084000000000003,28.2624,0.0,0
105,157,50,65,-4,-35,11,70,28.070652631578945,56.19359999999999,0.0,1
106,-100,-35,-50,-25,25,-55,40,17.664,46.023,0.0,1
107,-70,-30,-45,-10,15,-5,5,87.768,31.9056,0.0,1
108,-61,-21,12,-17,-35,-10,10,19.25027368421053,35.88,0.0,1
109,10,-24,-29,-5,36,33,-1,39.19199999999999,38.46336,0.0,0
110,-59,10,-14,-40,11,-35,9,31.799999999999997,63.480000000000004,0.0,1
111,-90,-17,-20,-25,5,-35,2,55.384,27.807000000000002,0.0,1
112,5,30,10,30,-10,-5,-50,32.76282352941177,29.604631578947366,0.0,0
113,235,25,65,10,30,40,65,75.624,87.768,0.0,1
114,270,21,35,60,95,40,19,82.248,54.072676056338025,0.5,1
115,185,65,45,-11,5,55,26,110.17920000000001,138.0,1.0,1
116,-150,10,-65,-3,5,-55,-42,27.402857142857144,12.895862068965517,0.0,0
117,-65,5,-43,12,-9,17,-47,42.8352,48.03977142857143,0.0,0
118,54,14,-5,155,5,15,-130,148.488,17.5605,0.5,0
119,-120,-20,10,0,-60,-20,-30,27.048000000000002,24.6192,-1.0,0
120,65,15,23,-12,20,0,19,19.595999999999997,19.15170731707317,-1.5,1
121,10,30,40,75,-15,-50,-70,53.76480000000001,31.095999999999997,0.0,1
122,160,-10,10,15,75,10,60,33.439578947368425,52.203428571428574,0.0,1
123,-15,10,20,45,-65,-30,5,69.64032,66.24,1.5,1
124,-44,-30,30,0,-55,0,11,34.90588235294118,39.68432432432432,0.0,1
125,-20,-56,0,20,-10,15,11,35.144,75.624,0.0,1
126,-190,-35,20,-35,-35,-35,-70,23.253,23.253,-1.0,0
127,-70,-10,-60,20,30,-10,-40,69.0,27.048000000000002,0.0,0
128,160,25,10,-15,70,50,20,40.089,56.028000000000006,-0.5,1
129,-13,-32,-29,3,10,10,25,16.473257142857143,22.908,0.0,1
130,32,6,0,23,3,-5,5,52.08332307692307,42.94235294117647,0.0,1
131,155,3,44,23,60,20,5,108.4128,34.3344,0.0,1
132,-155,-25,-20,-10,-10,-20,-70,36.156,18.17353846153846,-1.0,0
133,-175,-15,-7,-63,-57,-73,40,0.0,0.0,0.0,0
134,190,5,45,50,35,45,10,53.42571428571429,43.01657142857143,-1.5,1
135,-220,-36,-30,-20,-5,-79,-50,12.972000000000001,16.56,0.0,0
136,135,25,30,10,15,0,55,34.3344,81.69600000000001,0.0,1
137,39,17,-5,13,8,9,-3,70.5371076923077,57.982079999999996,1.5,0
138,20,12,80,20,-20,-50,-22,43.746,49.60114285714286,0.5,0
139,240,10,35,72,55,37,31,40.36224,36.818400000000004,-0.5,1
140,-5,33,-7,25,-17,25,-64,40.61142857142857,28.326315789473686,0.0,0
141,195,10,74,55,39,10,7,72.312,63.480000000000004,0.0,1
142,-43,-45,0,-20,-28,0,50,17.21714285714286,39.19199999999999,-1.0,0
143,-185,-5,-35,-70,-45,-15,-15,12.095294117647061,18.078,-0.5,0
144,27,-20,15,-14,52,-35,29,42.228,31.995555555555562,-1.0,1
145,291,77,0,72,25,70,47,90.1968,127.3957894736842,-1.0,1
146,-245,-75,25,-70,-35,-80,-10,27.048000000000002,24.190588235294122,0.0,0
147,-318,-23,-10,-5,-125,-105,-50,16.008000000000003,13.6896,0.0,0
148,77,-30,22,50,-5,15,25,114.81600000000002,98.256,1.5,1
149,-82,-32,-69,-45,30,15,19,27.687157894736842,71.44327868852457,0.0,1
150,125,5,20,50,85,0,-35,515.5680000000001,55.614000000000004,1.0,1
151,-180,0,-35,-5,-50,-25,-65,22.999999999999996,20.976,0.0,0
152,62,3,4,18,44,-5,-2,46.47839999999999,33.12,0.0,0
153,-85,0,-5,-20,10,0,-70,25.53,23.578285714285713,0.0,0
154,307,5,43,47,78,77,57,147.1386666666667,137.1815172413793,0.0,1
155,80,-5,40,5,40,-10,10,25.668000000000003,25.668000000000003,-1.5,1
156,-68,-15,-47,-13,-12,22,-3,47.39586206896551,68.71836734693878,1.0,0
157,-255,-11,-41,35,-119,-35,-84,22.478350515463916,24.879428571428573,0.0,0
158,120,0,0,20,50,45,5,0.0,0.0,-2.0,0
159,-387,-26,-98,-35,-93,-65,-70,20.976,13.799999999999999,0.0,0
160,5,21,4,-30,16,-15,9,35.88,31.334117647058825,0.0,1
161,163,45,20,-22,55,40,25,69.2484,96.4422857142857,0.0,1
162,44,44,15,30,15,50,-110,57.40800000000001,25.53,0.5,1
163,100,0,-30,20,20,120,-30,24.150000000000002,46.92,0.0,0
164,-81,-27,3,-23,-34,-29,29,25.590719999999997,35.9536,0.0,1
165,-85,-10,-50,-20,35,-10,-30,73.17942857142856,46.8096,1.0,0
166,91,20,36,-30,-9,-20,94,74.16,157.32,1.0,1
167,-211,-10,-40,-61,-42,-38,-20,42.54924590163935,80.20560000000002,1.5,0
168,142,20,20,36,40,26,0,123.2233846153846,101.154,1.0,0
169,380,100,36,70,55,70,49,99.912,109.39024390243901,0.0,1
170,-40,30,35,10,-50,10,-75,27.048000000000002,27.048000000000002,-1.0,0
171,35,7,30,13,-45,30,0,34.90588235294118,43.47811764705882,0.0,0
172,-360,-35,-110,-30,-110,-30,-45,16.928,24.936,0.0,0
173,85,12,18,-5,26,15,19,56.58,52.764705882352935,0.0,1
174,-210,55,-5,-40,-90,-25,-105,13.969846153846152,30.911999999999995,0.0,1
175,20,10,34,20,-30,15,-29,69.64032,86.47999999999999,1.5,0
176,43,15,-30,-21,35,9,35,52.30752,48.56022857142857,1.0,1
177,250,15,24,46,91,34,40,77.28,41.33505882352941,0.0,1
178,-244,5,-70,-72,-38,-25,-44,34.166896551724136,24.44571428571429,0.0,0
179,-59,-18,9,-1,-14,51,-86,37.2227027027027,37.457142857142856,0.0,0
180,-200,-70,-50,-40,-45,0,5,17.016000000000002,62.376000000000005,0.0,1
181,125,5,40,26,10,36,8,48.4656,42.734,-1.0,1
182,-235,-38,-68,-28,-25,-30,-46,33.2718,22.40470588235294,0.0,0
183,-25,-15,30,-15,-25,5,-5,36.58971428571428,26.580923076923078,0.0,0
184,-33,-5,19,-5,-8,-35,1,35.19945205479452,46.260895522388054,0.0,1
185,145,28,19,-1,50,26,23,146.3904,88.61052631578947,1.5,1
186,234,34,80,10,25,40,45,124.19999999999999,66.51600000000002,0.0,1
187,150,35,100,80,-5,-55,-5,81.69600000000001,50.1216,-1.0,0
188,-130,20,40,-2,-55,-67,-66,39.19199999999999,19.705116279069767,0.0,1
189,-57,32,2,12,-4,-22,-77,47.93567999999999,17.3328,0.0,0
190,-119,-9,6,32,-55,-35,-58,19.595999999999997,10.113698630136987,-1.5,0
191,95,6,-12,18,45,19,19,45.50688,83.8212,-1.0,1
192,366,47,99,67,59,44,50,74.42950819672132,93.84,0.5,1
193,-238,-85,-10,-55,-39,-59,10,0.0,0.0,0.0,0
194,-121,33,-20,-75,-30,-80,51,15.042000000000002,26.882400000000004,-0.5,1
195,-165,-10,20,-5,-60,-40,-70,20.976,18.17353846153846,0.0,0
196,48,-7,-30,5,60,55,-35,39.19199999999999,39.19199999999999,0.0,0
197,65,5,-25,5,20,10,50,16.12628571428571,34.1688,0.0,1
198,2,11,-45,-90,45,26,55,25.668000000000003,40.41428571428571,-0.5,0
199,196,17,69,12,-16,29,85,41.580983606557375,80.178,0.0,1
200,-218,-38,-56,-35,-23,-12,-54,45.99999999999999,51.42432000000001,1.5,0
201,-125,10,-20,-13,-100,25,-27,11.138571428571428,16.831071428571427,0.0,0
202,-11,11,22,-5,-33,-10,4,29.288155339805826,29.051134020618555,0.0,1
203,-40,30,10,-20,-30,5,-35,31.52210526315789,45.621176470588246,0.0,0
204,-295,-80,-115,25,-35,-20,-70,64.23899999999999,35.5488,0.5,0
205,221,56,52,60,60,-14,7,187.68,90.24558139534884,1.5,1
206,91,25,66,35,-9,-15,-11,142.8,167.44,1.0,0
207,-151,-27,-50,8,-45,20,-57,21.167747368421054,25.769684210526314,0.0,0
208,-25,-10,-50,5,25,15,-10,52.854,69.552,0.0,0
209,85,12,-37,0,43,0,67,51.336000000000006,99.912,-1.0,1
210,-20,4,-45,35,-45,35,-4,42.228,50.599999999999994,-1.0,0
211,234,41,39,36,39,36,43,21.277476923076925,21.277476923076925,-1.5,1
212,219,23,8,43,91,39,15,105.51692307692309,71.98079999999999,-1.0,1
213,-405,-15,-35,-45,-150,-75,-85,5.130352941176471,4.182461538461538,-0.5,0
214,0,36,-39,-13,6,42,-32,53.76480000000001,60.38880000000001,0.0,0
215,155,10,-10,10,55,55,35,46.47839999999999,57.40800000000001,0.0,1
216,140,10,40,45,5,15,25,75.624,45.263999999999996,0.0,1
217,89,16,55,23,30,-23,-12,36.7632,55.30615384615385,0.5,0
218,297,21,111,65,5,55,40,122.46514285714287,112.05600000000001,0.5,0
219,35,20,15,-49,60,-29,18,48.300000000000004,41.51744680851064,0.0,1
220,-255,-35,-35,-35,-50,-25,-75,22.999999999999996,20.976,0.0,0
221,-222,-20,-75,-57,-15,-32,-23,31.2432,19.04724705882353,0.0,0
222,-45,-15,-32,-13,-4,9,10,37.08,53.01103448275862,0.0,1
223,135,40,-13,-25,55,30,48,48.7416,21.4176,0.0,1
224,-238,-70,-78,-30,-60,-25,25,15.511199999999999,25.179692307692306,0.0,0
225,-53,-60,12,0,-13,-35,43,22.631999999999998,36.389538461538464,0.0,1
226,142,-20,-2,85,32,40,7,86.61142857142858,169.07999999999998,0.0,1
227,248,35,35,95,14,44,25,149.66322580645163,41.794285714285714,0.0,1
228,182,-24,51,51,41,44,19,82.432,94.77839999999999,1.5,1
229,-150,-54,-28,-23,-32,-12,-1,33.12,56.33647058823529,0.0,0
230,155,33,-45,21,30,86,30,47.28432000000001,116.1408,-0.5,1
231,79,5,-3,-25,72,25,5,133.03200000000004,311.54879999999997,1.0,1
232,-135,-15,-70,-70,35,-15,0,28.2624,33.12,0.0,0
233,50,10,-7,-88,78,-18,75,28.782857142857143,87.768,0.0,1
234,160,-3,55,9,75,9,15,53.76480000000001,28.2624,0.0,1
235,172,80,33,-7,43,-7,30,51.7776,61.857119999999995,-0.5,1
236,30,25,16,-10,2,0,-3,54.80571428571429,31.674285714285716,0.0,0
237,-150,4,-44,-5,-7,-25,-73,91.54000000000002,49.373333333333335,1.0,0
238,-30,0,-30,5,0,-45,40,96.60000000000001,142.14000000000001,1.0,1
239,-110,5,35,20,-40,-70,-60,41.469,20.976,0.0,0
240,83,-11,25,77,-34,33,-7,0.0,0.0,0.0,0
241,501,60,150,128,100,38,25,59.67120000000001,26.602153846153847,-0.5,1
242,-120,-22,-13,-25,-25,-21,-14,22.277142857142856,16.20514285714286,0.0,0
243,134,-10,19,35,24,55,11,59.06399999999999,155.77439999999999,0.0,1
244,100,-28,0,5,80,35,8,96.60000000000001,91.24235294117649,0.0,1
245,-34,34,-66,-34,38,36,-42,47.64,51.507042253521135,0.0,0
246,65,10,10,-55,15,25,60,102.67200000000001,151.248,1.5,1
247,-10,-25,5,-45,-25,50,30,30.222,51.474000000000004,0.0,1
248,270,45,60,23,32,65,45,105.10079999999999,255.33942857142858,1.0,1
249,150,80,10,-80,60,40,40,63.480000000000004,75.624,0.0,1
250,-401,-70,-130,-78,-30,-58,-35,17.3328,21.704639999999998,0.0,0
251,280,55,10,80,30,100,5,136.344,81.69600000000001,0.0,1
252,46,10,23,18,-2,18,-21,17.2776,11.666682352941177,0.0,0
253,-5,14,0,-20,-5,-30,36,23.253,30.547118644067794,0.0,1
254,-211,-47,-36,-74,-34,-24,4,13.259999999999998,10.359718309859156,-0.5,1
255,135,4,18,19,5,70,19,98.69759999999998,73.06736842105262,0.0,1
256,150,15,25,50,-5,65,0,12.656571428571429,25.668000000000003,0.0,0
257,200,35,60,40,-5,40,30,68.3376,68.3376,0.0,1
258,-100,-154,17,-8,32,2,11,57.96,69.0,0.0,1
259,-443,-34,-50,-60,-134,-60,-105,4.928571428571429,5.583692307692308,-0.5,0
260,-585,-66,-155,-70,-134,-80,-80,19.714285714285715,16.72984615384615,1.0,0
261,335,56,52,25,89,25,88,84.732,166.704,0.0,1
262,85,40,0,35,60,20,-70,129.3888,60.168000000000006,1.5,1
263,-134,-37,-45,-11,15,-11,-45,58.51199999999999,50.35938461538461,1.5,0
264,-127,-33,-33,-18,-20,-38,15,35.02834285714285,33.362880000000004,0.0,1
265,-101,1,6,33,-51,-21,-69,20.034939759036142,7.952783505154638,-0.5,0
266,0,9,-30,-15,10,15,11,27.048000000000002,43.239999999999995,0.0,1
267,-130,10,-25,42,-85,-5,-67,18.29485714285714,11.951785714285714,-1.5,0
268,-45,-5,-20,-20,10,-10,0,23.16192,33.12,0.0,0
269,190,40,65,28,0,65,-8,57.92845714285714,44.944421052631576,0.0,0
270,180,35,15,15,35,45,35,22.908,45.908,0.0,1
271,-135,10,5,-27,-55,-22,-46,21.934736842105263,24.77934065934066,0.0,0
272,-80,-30,-45,47,-45,-23,16,28.74816,58.44891428571428,0.0,1
273,79,-18,71,69,-7,-37,1,59.80484210526316,33.466971428571426,0.5,1
274,-209,-10,-24,-17,-69,-30,-59,40.67368421052632,54.56307692307693,1.5,0
275,195,44,22,69,3,43,14,59.2763076923077,45.48888888888889,0.5,1
276,-160,30,-15,-10,-40,-35,-90,33.439578947368425,13.892,0.0,0
277,-52,-52,-25,-25,25,15,10,69.27600000000001,105.708,1.0,1
278,505,55,119,115,75,90,51,552.0,442.70400000000006,1.0,1
279,105,37,45,15,-2,10,0,38.486666666666665,19.595999999999997,0.0,0
280,-100,-15,10,-10,-55,-10,-20,17.7744,17.7744,-0.5,0
281,-35,12,5,14,-5,-16,-45,69.552,17.94,0.0,0
282,294,27,40,50,70,98,9,124.19999999999999,130.79245714285713,0.5,1
283,26,18,37,18,-28,13,-32,20.24736,24.6192,-1.0,0
284,-5,-20,0,-35,25,15,10,30.084000000000003,118.12799999999999,0.0,1
285,460,61,100,15,119,55,110,36.7632,148.488,0.0,1
286,-90,-30,-10,50,-10,-90,0,40.848000000000006,27.048000000000002,0.0,0
287,-25,15,-25,40,-20,-5,-30,33.25800000000001,11.188615384615385,-0.5,0
288,240,10,85,180,-70,35,0,69.79488,118.12799999999999,0.5,0
289,-160,20,15,0,-115,-40,-40,0.0,0.0,0.0,0
290,-7,2,-33,5,-13,50,-18,64.82790697674417,104.10070588235294,1.0,0
291,-4,-35,-47,-15,60,35,-2,78.38399999999999,88.67999999999999,1.5,0
292,-130,-45,25,20,-40,-50,-40,53.204307692307694,12.879999999999999,0.0,0
293,-201,-70,-90,-20,12,-5,-28,31.9056,27.599999999999998,-1.0,0
294,-182,40,23,-105,0,-105,-35,31.38514285714286,25.024,0.0,0
295,10,23,30,12,-43,29,-41,15.35149514563107,16.31114754098361,0.0,0
296,161,26,15,5,62,12,41,57.40800000000001,33.362880000000004,0.0,1
297,-164,6,-10,-35,-43,-38,-44,14.904,14.0944,0.0,0
298,148,65,11,13,41,21,-3,39.37337142857143,21.909142857142857,0.0,0
299,247,35,32,40,60,62,18,78.3564,61.52129032258064,0.0,1
300,-22,-12,-15,35,-28,-7,5,59.29241379310345,36.156,0.0,1
301,195,56,27,-70,99,45,38,224.11200000000002,99.20228571428572,1.0,1
302,-136,15,-10,47,-87,-10,-91,33.41313103448276,21.604137931034487,0.0,0
303,29,0,14,35,-11,25,-34,37.168,57.40800000000001,0.0,0
304,65,-80,10,10,10,-5,120,41.33505882352941,57.40800000000001,0.0,1
305,129,15,7,9,34,20,44,71.0976,126.96000000000001,1.5,1
306,-45,30,35,-37,-45,-37,9,27.048000000000002,32.41395348837209,0.0,1
307,210,15,70,60,25,15,25,52.203428571428574,60.444,0.0,1
308,301,27,84,32,9,39,110,53.525901639344255,89.28600000000002,-1.0,1
309,-301,-28,-125,1,10,-39,-120,102.34080000000002,13.061462068965518,0.0,0
310,50,5,-25,5,15,40,10,62.376000000000005,57.40800000000001,0.0,1
311,-11,-63,23,13,-19,-7,42,68.08000000000001,112.30344827586207,1.5,1
312,181,36,7,32,29,67,10,41.580983606557375,60.010285714285715,0.0,1
313,10,15,30,25,10,20,-90,46.023,28.782857142857143,0.5,1
314,-145,-42,-25,-25,1,-41,-13,63.480000000000004,26.86941176470588,0.0,0
315,488,30,165,55,87,45,106,28.568059701492537,77.28,0.0,1
316,-130,-6,-15,-5,-51,-32,-21,29.255999999999997,31.8133670886076,0.5,0
317,94,11,34,11,39,6,-7,42.55495384615385,25.2528,0.0,0
318,179,40,42,30,25,30,12,75.624,34.638000000000005,0.0,1
319,-136,0,4,-10,-63,-10,-57,17.678526315789473,8.880705882352942,-0.5,0
320,-400,-32,-69,-60,-99,-80,-60,11.867999999999999,16.008000000000003,0.0,0
321,15,0,0,27,-25,27,-14,32.33421176470588,30.38426373626374,0.0,0
322,110,15,-5,25,60,30,-15,50.40184615384615,31.272000000000006,0.0,0
323,44,4,30,-5,28,-2,-11,0.0,0.0,0.0,0
324,-65,10,11,-5,-54,-25,-2,34.71789473684211,37.79076923076923,0.5,0
325,55,6,54,-28,14,-36,45,10.375555555555556,15.9528,0.0,1
326,360,35,95,80,60,20,70,81.69600000000001,68.3376,0.5,1
327,214,39,70,93,5,28,-21,97.4832,38.64,0.0,0
328,300,35,35,10,105,30,85,96.4422857142857,112.05600000000001,0.0,1
329,34,5,30,14,-26,-2,13,18.034628571428573,30.5256,-1.5,1
330,23,48,-21,9,1,29,-43,29.526367346938773,35.94558415841584,-1.0,0
331,142,-15,30,51,50,46,-20,54.372,49.60114285714286,0.0,0
332,-203,-45,-43,-35,-23,-45,-12,20.227397260273975,40.82328358208956,0.0,0
333,238,-7,31,40,68,27,79,51.698507462686564,74.03999999999999,0.0,1
334,-22,32,65,12,-42,-94,5,28.782857142857143,31.9056,0.0,1
335,-20,5,5,12,-17,-21,-4,20.534969072164948,43.608000000000004,-0.5,0
336,-75,-15,-45,0,-40,-35,60,17.3328,52.203428571428574,0.0,0
337,228,-40,53,43,53,38,81,53.76480000000001,117.52079999999998,0.0,1
338,-69,-25,-15,-11,-12,-20,14,24.501677419354834,28.68276923076923,0.0,1
339,28,0,-15,5,34,9,-5,44.5672131147541,28.2624,0.0,0
340,80,-14,15,-10,45,10,34,33.98742857142858,61.52129032258064,0.0,1
341,-136,10,-68,-5,-38,5,-40,11.889230769230767,16.863599999999998,-1.5,0
342,20,22,33,30,-6,-15,-44,24.993333333333332,16.863599999999998,-1.5,0
343,320,66,71,35,71,38,39,60.444,62.26559999999999,0.0,1
344,28,4,-17,-3,47,15,-18,48.300000000000004,47.67616438356164,0.0,0
345,-375,-19,-97,-82,-63,-28,-86,8.6664,10.791599999999999,-0.5,0
346,-306,-26,-95,-18,-94,-18,-55,22.158857142857144,25.740184615384617,-1.0,0
347,9,-15,3,-105,51,33,42,68.172,105.55028571428569,0.0,1
348,185,55,30,55,35,35,-25,105.98399999999998,42.228,0.0,0
349,136,22,-2,25,31,35,25,22.146240000000002,17.43884210526316,0.0,1
350,45,-10,34,45,29,10,-63,61.6116923076923,26.519999999999996,0.0,0
351,-70,30,-55,-40,0,0,-5,18.637263157894736,24.80057142857143,-1.5,0
